episode,episode_reward,goal_reached,reason,max_steps
438,98.235250646135,1,goal reached,60
439,348.8582332820969,1,goal reached,50
440,363.05239376347834,1,goal reached,50
441,335.3991296780066,1,goal reached,53
442,348.93503528933866,1,goal reached,50
443,393.5360044829939,1,goal reached,49
444,351.6794703980188,1,goal reached,50
445,349.82405669924754,1,goal reached,50
446,603.9988738139996,1,goal reached,39
447,345.70604031083724,1,goal reached,53
448,98.235250646135,1,goal reached,60
449,348.8582332820969,1,goal reached,50
450,363.05239376347834,1,goal reached,50
451,335.3991296780066,1,goal reached,53
452,348.93503528933866,1,goal reached,50
453,393.5360044829939,1,goal reached,49
454,351.6794703980188,1,goal reached,50
455,349.82405669924754,1,goal reached,50
456,603.9988738139996,1,goal reached,39
457,345.70604031083724,1,goal reached,53
458,98.235250646135,1,goal reached,60
459,348.8582332820969,1,goal reached,50
460,363.05239376347834,1,goal reached,50
461,335.3991296780066,1,goal reached,53
462,348.93503528933866,1,goal reached,50
463,393.5360044829939,1,goal reached,49
464,351.6794703980188,1,goal reached,50
465,349.82405669924754,1,goal reached,50
466,603.9988738139996,1,goal reached,39
467,345.70604031083724,1,goal reached,53
468,98.235250646135,1,goal reached,60
469,348.8582332820969,1,goal reached,50
470,363.05239376347834,1,goal reached,50
471,335.3991296780066,1,goal reached,53
472,348.93503528933866,1,goal reached,50
473,393.5360044829939,1,goal reached,49
474,351.6794703980188,1,goal reached,50
475,349.82405669924754,1,goal reached,50
476,603.9988738139996,1,goal reached,39
477,345.70604031083724,1,goal reached,53
478,98.235250646135,1,goal reached,60
479,348.8582332820969,1,goal reached,50
480,363.05239376347834,1,goal reached,50
481,335.3991296780066,1,goal reached,53
482,348.93503528933866,1,goal reached,50
483,393.5360044829939,1,goal reached,49
484,351.6794703980188,1,goal reached,50
485,349.82405669924754,1,goal reached,50
486,603.9988738139996,1,goal reached,39
487,345.70604031083724,1,goal reached,53
488,98.235250646135,1,goal reached,60
489,348.8582332820969,1,goal reached,50
490,363.05239376347834,1,goal reached,50
491,335.3991296780066,1,goal reached,53
492,348.93503528933866,1,goal reached,50
493,393.5360044829939,1,goal reached,49
494,351.6794703980188,1,goal reached,50
495,349.82405669924754,1,goal reached,50
496,603.9988738139996,1,goal reached,39
497,345.70604031083724,1,goal reached,53
498,98.235250646135,1,goal reached,60
499,348.8582332820969,1,goal reached,50
500,363.05239376347834,1,goal reached,50
501,335.3991296780066,1,goal reached,53
502,348.93503528933866,1,goal reached,50
503,393.5360044829939,1,goal reached,49
504,351.6794703980188,1,goal reached,50
505,349.82405669924754,1,goal reached,50
506,603.9988738139996,1,goal reached,39
507,345.70604031083724,1,goal reached,53
508,98.235250646135,1,goal reached,60
509,348.8582332820969,1,goal reached,50
510,363.05239376347834,1,goal reached,50
511,335.3991296780066,1,goal reached,53
512,348.93503528933866,1,goal reached,50
513,393.5360044829939,1,goal reached,49
514,351.6794703980188,1,goal reached,50
515,349.82405669924754,1,goal reached,50
